playerID,Name,yearID,cluster,WAR,salary,BABIP,wOBA,ISO,K%,PC1,PC2,value_ratio
ohtansh01,Shohei Ohtani,2023,0,6.6,0.0,0.342,0.433,0.35,0.239,-0.3559371618865147,5.817487051499925,65.99999999999999
yelicch01,Christian Yelich,2019,0,6.6,0.0,0.355,0.442,0.342,0.203,-0.355941612388887,5.81720737151814,65.99999999999999
delacel01,Elly De La Cruz,2024,0,6.6,0.0,0.359,0.349,0.212,0.313,-0.35694238306244186,5.809193778528229,65.99999999999999
olsonma02,Matt Olson,2023,0,6.6,0.0,0.302,0.413,0.321,0.2319999999999999,-0.35661731012648235,5.811813506189336,65.99999999999999
swansda01,Dansby Swanson,2022,0,6.6,0.0,0.348,0.337,0.17,0.261,-0.35756993248060776,5.803626789182881,65.99999999999999
ramirjo01,Jose Ramirez,2024,0,6.5,0.0,0.265,0.364,0.258,0.12,-0.36643677892956483,5.699455246283486,65.0
semiema01,Marcus Semien,2019,0,6.5,0.0,0.294,0.373,0.237,0.1369999999999999,-0.3661517866721786,5.701785449237188,65.0
semiema01,Marcus Semien,2023,0,6.5,0.0,0.291,0.354,0.201,0.146,-0.36649090511088533,5.698939759880659,65.0
carroco02,Corbin Carroll,2025,0,6.5,0.0,0.299,0.371,0.282,0.238,-0.3654789398060665,5.70801770118509,65.0
deverra01,Rafael Devers,2019,0,6.5,0.0,0.339,0.377,0.244,0.17,-0.36557720913580605,5.7066633200446795,65.0
